days,median,l_25,u_75,max,date_median
one,230,230,230,234,2022-08-18
two,230,230,230,234,2022-08-18
three,230,230,230,233,2022-08-18
four,230,230,230,234,2022-08-18
five,230,230,230,234,2022-08-18
