year,days,diff
1988,one,0.0026721834324626714
1989,one,0.010471879544068696
1990,one,0.038788715584521904
1991,one,0.008319802640687768
1992,one,0.03335058549524483
1993,one,0.025181510333198598
1994,one,0.04072089406974011
1995,one,0.01526015024720162
1996,one,0.014085154645495535
1997,one,0.03572465270578473
1998,one,0.015967739018788785
1999,one,0.02644977562996198
2000,one,0.02245559155401633
2001,one,0.01803996676477626
2002,one,0.01066600177304966
2003,one,0.035010337698139216
2004,one,0.030082900686652203
2005,one,0.025149516945253803
2006,one,0.038902748348172866
2007,one,NA
2008,one,0.004606855625829631
2009,one,0.02683833150154391
2010,one,0.009537913647502672
2011,one,0.014884107681114256
2012,one,NA
2013,one,0.017468688200395488
2014,one,0.00947112499422964
2015,one,0.024314243897832988
2016,one,0.011205537660201492
2017,one,0.03692015472433541
2018,one,0.019260979441295012
2019,one,NA
2020,one,0.022471098265895995
2021,one,0.030212593216261685
1988,two,0.0026721834324626714
1989,two,0.010471879544068696
1990,two,0.038788715584521904
1991,two,0.008319802640687768
1992,two,0.024476504711996694
1993,two,0.025181510333198598
1994,two,0.03192786584479079
1995,two,0.01526015024720162
1996,two,0.014085154645495535
1997,two,0.03572465270578473
1998,two,0.015967739018788785
1999,two,0.02644977562996198
2000,two,0.02245559155401633
2001,two,0.008886197524257455
2002,two,0.01066600177304966
2003,two,0.035010337698139216
2004,two,0.030082900686652203
2005,two,0.025149516945253803
2006,two,0.038902748348172866
2007,two,NA
2008,two,0.004606855625829631
2009,two,0.02683833150154391
2010,two,0.009537913647502672
2011,two,0.014884107681114256
2012,two,NA
2013,two,0.017468688200395488
2014,two,NA
2015,two,0.024314243897832988
2016,two,0.011205537660201492
2017,two,0.03692015472433541
2018,two,0.019260979441295012
2019,two,NA
2020,two,0.022471098265895995
2021,two,0.030212593216261685
1988,three,0.0026721834324626714
1989,three,0.010471879544068696
1990,three,0.038788715584521904
1991,three,0.008319802640687768
1992,three,0.015969032369368752
1993,three,0.025181510333198598
1994,three,0.023470449384152436
1995,three,0.01526015024720162
1996,three,0.014085154645495535
1997,three,0.03572465270578473
1998,three,0.015967739018788785
1999,three,0.02644977562996198
2000,three,0.02245559155401633
2001,three,NA
2002,three,0.01066600177304966
2003,three,0.035010337698139216
2004,three,0.030082900686652203
2005,three,0.025149516945253803
2006,three,0.038902748348172866
2007,three,NA
2008,three,0.004606855625829631
2009,three,0.02683833150154391
2010,three,0.009537913647502672
2011,three,0.014884107681114256
2012,three,NA
2013,three,0.017468688200395488
2014,three,NA
2015,three,0.024314243897832988
2016,three,0.011205537660201492
2017,three,0.03692015472433541
2018,three,0.019260979441295012
2019,three,NA
2020,three,0.022471098265895995
2021,three,0.030212593216261685
1988,four,0.0026721834324626714
1989,four,0.010471879544068696
1990,four,0.03042252202707607
1991,four,0.008319802640687768
1992,four,0.007817385866166315
1993,four,0.025181510333198598
1994,four,0.015337457629014728
1995,four,0.01526015024720162
1996,four,0.014085154645495535
1997,four,0.03572465270578473
1998,four,0.015967739018788785
1999,four,0.02644977562996198
2000,four,0.02245559155401633
2001,four,NA
2002,four,0.01066600177304966
2003,four,0.035010337698139216
2004,four,0.030082900686652203
2005,four,0.025149516945253803
2006,four,0.038902748348172866
2007,four,NA
2008,four,0.004606855625829631
2009,four,0.02683833150154391
2010,four,0.009537913647502672
2011,four,0.014884107681114256
2012,four,NA
2013,four,0.017468688200395488
2014,four,NA
2015,four,0.024314243897832988
2016,four,0.011205537660201492
2017,four,0.03692015472433541
2018,four,0.019260979441295012
2019,four,NA
2020,four,0.022471098265895995
2021,four,0.030212593216261685
1988,five,0.0026721834324626714
1989,five,0.010471879544068696
1990,five,0.022372254659911328
1991,five,0.008319802640687768
1992,five,NA
1993,five,0.025181510333198598
1994,five,0.007517703520567354
1995,five,0.01526015024720162
1996,five,0.014085154645495535
1997,five,0.03572465270578473
1998,five,0.015967739018788785
1999,five,0.02644977562996198
2000,five,0.02245559155401633
2001,five,NA
2002,five,0.01066600177304966
2003,five,0.035010337698139216
2004,five,0.030082900686652203
2005,five,0.025149516945253803
2006,five,0.030447898291285247
2007,five,NA
2008,five,0.004606855625829631
2009,five,0.02683833150154391
2010,five,0.009537913647502672
2011,five,0.014884107681114256
2012,five,NA
2013,five,0.017468688200395488
2014,five,NA
2015,five,0.024314243897832988
2016,five,0.011205537660201492
2017,five,0.03692015472433541
2018,five,0.019260979441295012
2019,five,NA
2020,five,0.022471098265895995
2021,five,0.030212593216261685
