% Chance,one,two,three,four,five
99,96,96.1,96.1,96.2,96.3
95,96.1,96.2,96.2,96.4,96.5
90,96.3,96.4,96.4,96.5,96.8
80,96.7,96.9,97,97,97.1
70,97.3,97.3,97.4,97.4,97.5
60,97.5,97.5,97.6,97.6,97.7
50,97.8,97.8,97.8,98.1,97.9
