% Chance,one,two,three,four,five
99,92,92,92,92.1,92.1
95,95.7,95.7,95.7,95.7,95.7
90,96.3,96.3,96.3,96.3,96.3
80,96.4,96.4,96.4,96.4,96.4
70,96.4,96.4,96.4,96.4,96.4
60,96.4,96.4,96.4,96.4,96.4
50,96.4,96.4,96.4,96.4,96.4
