year,days,diff
1971,one,0.03346569476479133
1972,one,0.03647254737262251
1973,one,0.03647255475405575
1974,one,0.03647256187698966
1975,one,0.0035734836481557952
1976,one,0.019393476604456672
1977,one,0.03647259023035698
1978,one,0.0038332064751274153
1979,one,0.015735021657181436
1980,one,0.036472616926578105
1981,one,0.015173896348715243
1982,one,0.036472642233667196
1983,one,0.023138738573008633
1984,one,0.036472672357263036
1985,one,0.03714019538116864
1986,one,0.02383220771041039
1987,one,0.00648321560698184
1988,one,0.022904304092474015
1989,one,0.03896138880468525
1990,one,0.01452060924736509
1991,one,0.102514290748978
1992,one,0.03438140968527481
1993,one,0.03647274895397279
1994,one,0.03647277857264963
1995,one,0.03647279034433515
1999,one,0.05514780473208791
2000,one,0.031670407260159794
2001,one,0.03647282345406466
2002,one,0.03465876451391525
2003,one,0.03647283979728666
2004,one,0.036472847423025034
2005,one,0.03647285881630269
2006,one,0.03647286316846743
2007,one,0.03504803034499848
2008,one,0.01603532810480135
2009,one,0.03647288183180486
2010,one,0.045066220751195485
2011,one,0.03480314617439029
2012,one,0.03647292038099381
2013,one,0.03647293638853477
2014,one,0.034029086623820204
2015,one,0.03647296210640083
2016,one,0.03647298339958427
2017,one,0.036472995555962395
2018,one,0.03647300792339492
2019,one,0.036473022901151064
2020,one,0.03647304187702627
2021,one,0.036473048921762063
1971,two,0.03328463555350336
1972,two,0.03647254737262251
1973,two,0.03647255475405575
1974,two,0.03647256187698966
1975,two,0.0035734836481557952
1976,two,0.019393476604456672
1977,two,0.03647259023035698
1978,two,0.0038332064751274153
1979,two,0.015735021657181436
1980,two,0.036472616926578105
1981,two,0.015173896348715243
1982,two,0.036472642233667196
1983,two,0.023138738573008633
1984,two,0.036472672357263036
1985,two,0.03714019538116864
1986,two,0.02383220771041039
1987,two,0.00648321560698184
1988,two,0.022904304092474015
1989,two,0.03896138880468525
1990,two,0.01452060924736509
1991,two,0.102514290748978
1992,two,0.03438140968527481
1993,two,0.03402888316765862
1994,two,0.03647277857264963
1995,two,0.03647279034433515
1999,two,0.05514780473208791
2000,two,0.031670407260159794
2001,two,0.03647282345406466
2002,two,0.03465876451391525
2003,two,0.03647283979728666
2004,two,0.036472847423025034
2005,two,0.03647285881630269
2006,two,0.03647286316846743
2007,two,0.03504803034499848
2008,two,0.014424330682449304
2009,two,0.03647288183180486
2010,two,0.045066220751195485
2011,two,0.03480314617439029
2012,two,0.03647292038099381
2013,two,0.03647293638853477
2014,two,0.03140357936238236
2015,two,0.03647296210640083
2016,two,0.03647298339958427
2017,two,0.036472995555962395
2018,two,0.03647300792339492
2019,two,0.036473022901151064
2020,two,0.03647304187702627
2021,two,0.036473048921762063
1971,three,0.03320416479293098
1972,three,0.03647254737262251
1973,three,0.03647255475405575
1974,three,0.03647256187698966
1975,three,0.0035734836481557952
1976,three,0.019393476604456672
1977,three,0.03647259023035698
1978,three,0.0038332064751274153
1979,three,0.015735021657181436
1980,three,0.036472616926578105
1981,three,0.015173896348715243
1982,three,0.036472642233667196
1983,three,0.023138738573008633
1984,three,0.036472672357263036
1985,three,0.03714019538116864
1986,three,0.02383220771041039
1987,three,0.00648321560698184
1988,three,0.022904304092474015
1989,three,0.03896138880468525
1990,three,0.01452060924736509
1991,three,0.102514290748978
1992,three,0.03438140968527481
1993,three,0.031403375943029777
1994,three,0.03647277857264963
1995,three,0.03647279034433515
1999,three,0.05514780473208791
2000,three,0.031670407260159794
2001,three,0.03647282345406466
2002,three,0.03465876451391525
2003,three,0.03647283979728666
2004,three,0.036472847423025034
2005,three,0.03647285881630269
2006,three,0.03647286316846743
2007,three,0.03504803034499848
2008,three,0.011705995731444485
2009,three,0.03647288183180486
2010,three,0.045066220751195485
2011,three,0.03480314617439029
2012,three,0.03647292038099381
2013,three,0.03647293638853477
2014,three,0.027857623317093183
2015,three,0.03647296210640083
2016,three,0.03647298339958427
2017,three,0.036472995555962395
2018,three,0.03647300792339492
2019,three,0.036473022901151064
2020,three,0.03647304187702627
2021,three,0.036473048921762063
1971,four,0.03278169329992586
1972,four,0.03647254737262251
