"","year","stream_name","count","imputed"
"1",1971,151,1,FALSE
"2",1972,151,0.231799851890359,TRUE
"3",1973,151,0.223848375114165,TRUE
"4",1974,151,0,FALSE
"5",1975,151,0.177799252800929,TRUE
"6",1976,151,0.302405985016397,TRUE
"7",1977,151,0.209532841206052,TRUE
"8",1978,151,0.289275432191195,TRUE
"9",1979,151,0.344327915194265,TRUE
"10",1980,151,0.435052885784981,TRUE
"11",1981,151,0.364235091876748,TRUE
"12",1982,151,0.376314089760886,TRUE
"13",1983,151,0.57806587755932,TRUE
"14",1984,151,0.52905912954134,TRUE
"15",1985,151,0.251999545765116,TRUE
"16",1986,151,0.102340561946021,TRUE
"17",1987,151,0.209309004001026,TRUE
"18",1988,151,0.118510723353972,TRUE
"19",1989,151,0.608197670147252,TRUE
"20",1990,151,0.257160206481401,TRUE
"21",1991,151,0.2203913967779,TRUE
"22",1992,151,0.423653599029784,TRUE
"23",1993,151,0.942678299552174,TRUE
"24",1994,151,0,FALSE
"25",1995,151,0.272057831681224,TRUE
"26",1999,151,0.578587305112281,TRUE
"27",2000,151,0.207798705599135,TRUE
"28",2001,151,0.233268953081794,TRUE
"29",2002,151,0.289701984039064,TRUE
"30",2003,151,0.244180933202477,TRUE
"31",2004,151,0.364990849304438,TRUE
"32",2005,151,0.13953889065314,TRUE
"33",2006,151,0.172865037653929,TRUE
"34",2007,151,0.105378388857454,TRUE
"35",2008,151,0.32079365507677,TRUE
"36",2009,151,0.687452373370976,TRUE
"37",2010,151,0.270484886891885,TRUE
"38",2011,151,0.281140946027688,TRUE
"39",2012,151,0.515353484821048,TRUE
"40",2013,151,0.517367090994174,TRUE
"41",2014,151,0.311903000102158,TRUE
"42",2015,151,0.687445417093059,TRUE
"43",2016,151,0.393058729758982,TRUE
"44",2017,151,0.40021090554387,TRUE
"45",2018,151,0.485095204281599,TRUE
"46",2019,151,0.615203095569971,TRUE
"47",2020,151,0.228690295597306,TRUE
"48",2021,151,0.291695203733122,TRUE
"49",1971,152,0,FALSE
"50",1972,152,0,TRUE
"51",1973,152,0,TRUE
"52",1974,152,0,FALSE
"53",1975,152,0,TRUE
"54",1976,152,0,TRUE
"55",1977,152,0,TRUE
"56",1978,152,0,TRUE
"57",1979,152,0,TRUE
"58",1980,152,0,TRUE
"59",1981,152,0,TRUE
"60",1982,152,0,TRUE
"61",1983,152,0,TRUE
"62",1984,152,0,TRUE
