year,days,max
1971,five,294
1971,four,293
1971,one,290
1971,three,292
1971,two,291
1972,five,289
1972,four,289
1972,one,289
1972,three,289
1972,two,289
1973,five,289
1973,four,289
1973,one,289
1973,three,289
1973,two,289
1974,five,289
1974,four,289
1974,one,289
1974,three,289
1974,two,289
1975,five,294
1975,four,293
1975,one,290
1975,three,292
1975,two,291
1976,five,289
1976,four,289
1976,one,289
1976,three,289
1976,two,289
1977,five,289
1977,four,289
1977,one,289
1977,three,289
1977,two,289
1978,five,289
1978,four,289
1978,one,289
1978,three,289
1978,two,289
1979,five,292
1979,four,291
1979,one,289
1979,three,290
1979,two,289
1980,five,289
1980,four,289
1980,one,289
1980,three,289
1980,two,289
1981,five,290
1981,four,289
1981,one,289
1981,three,289
1981,two,289
1982,five,289
1982,four,289
1982,one,289
1982,three,289
1982,two,289
1983,five,289
1983,four,289
1983,one,289
1983,three,289
1983,two,289
1984,five,289
1984,four,289
1984,one,289
1984,three,289
1984,two,289
1985,five,289
1985,four,289
1985,one,289
1985,three,289
1985,two,289
1986,five,289
1986,four,289
1986,one,289
1986,three,289
1986,two,289
1987,five,289
1987,four,289
1987,one,289
1987,three,289
1987,two,289
1988,five,289
1988,four,289
1988,one,289
1988,three,289
1988,two,289
1989,five,289
1989,four,289
1989,one,289
1989,three,289
1989,two,289
1990,five,289
1990,four,289
1990,one,289
1990,three,289
1990,two,289
1991,five,291
1991,four,290
1991,one,289
1991,three,289
1991,two,289
1992,five,289
1992,four,289
1992,one,289
1992,three,289
1992,two,289
1993,five,293
1993,four,292
1993,one,289
1993,three,291
1993,two,290
1994,five,289
1994,four,289
1994,one,289
1994,three,289
1994,two,289
1995,five,289
1995,four,289
1995,one,289
1995,three,289
1995,two,289
1999,five,289
1999,four,289
1999,one,289
1999,three,289
1999,two,289
2000,five,289
2000,four,289
2000,one,289
2000,three,289
2000,two,289
2001,five,289
2001,four,289
2001,one,289
2001,three,289
2001,two,289
2002,five,289
2002,four,289
2002,one,289
2002,three,289
2002,two,289
2003,five,289
2003,four,289
2003,one,289
2003,three,289
2003,two,289
2004,five,289
2004,four,289
2004,one,289
2004,three,289
2004,two,289
2005,five,289
2005,four,289
2005,one,289
2005,three,289
2005,two,289
2006,five,289
2006,four,289
2006,one,289
2006,three,289
2006,two,289
2007,five,290
2007,four,289
2007,one,289
2007,three,289
2007,two,289
2008,five,299
2008,four,298
2008,one,295
2008,three,297
2008,two,296
2009,five,289
2009,four,289
2009,one,289
2009,three,289
2009,two,289
2010,five,289
2010,four,289
2010,one,289
2010,three,289
2010,two,289
2011,five,289
2011,four,289
2011,one,289
2011,three,289
2011,two,289
2012,five,289
2012,four,289
2012,one,289
2012,three,289
2012,two,289
2013,five,289
2013,four,289
2013,one,289
2013,three,289
2013,two,289
2014,five,294
2014,four,293
2014,one,290
2014,three,292
2014,two,291
2015,five,289
2015,four,289
2015,one,289
2015,three,289
2015,two,289
2016,five,289
2016,four,289
2016,one,289
2016,three,289
2016,two,289
2017,five,289
2017,four,289
2017,one,289
2017,three,289
2017,two,289
2018,five,289
2018,four,289
2018,one,289
2018,three,289
2018,two,289
2019,five,289
2019,four,289
2019,one,289
2019,three,289
2019,two,289
2020,five,289
2020,four,289
2020,one,289
2020,three,289
2020,two,289
2021,five,290
2021,four,289
2021,one,289
2021,three,289
2021,two,289
