year,total_count,fitted
1971,49342,49707.495884802935
1972,51860,54320.31030535834
1973,50527,52456.9490704737
1974,84456,96666.43509101818
1975,41520,41665.7311010941
1976,69729,70866.25018292296
1977,41044,49102.22438923345
1978,67528,67789.21556998872
1979,80588,80690.29120292937
1980,95347,101950.90744797264
1981,84097,85355.36332552039
1982,80221,88185.97094041496
1983,134022,135464.76413220103
1984,115269,123980.45055053633
1985,57649,59053.9213293307
1986,23947,23982.626194111905
1987,48861,49049.733847744115
1988,27662,27771.958453746647
1989,141475,142525.87707740202
1990,60230,60263.273355897916
1991,51138,51646.819960337045
1992,95879.5,99279.55998867848
1993,212757,220908.5081411497
1994,80859,87965.69018718298
1995,59698,63754.39694517319
1999,129533,135586.92239782002
2000,47077,48695.824843114504
2001,51979,54664.555867751886
2002,65085,67889.14629368218
2003,52417,57221.68211428176
2004,75632,85532.43612785214
2005,30145,32699.726661910616
2006,37108,40509.419352611556
2007,21236,24694.50944470445
2008,71735,75175.20411116957
2009,153033,161098.48425625463
2010,61906,63385.77813706222
2011,63628,65882.93186187268
2012,107723,120768.59847712377
2013,110979,121240.46610929156
2014,70470,73091.7460605769
2015,135110,161096.8315059013
2016,85935,92109.87811153139
2017,88197,93785.92602830425
2018,108047,113677.81672420325
2019,134958,144167.45894908518
2020,50745.5263158,53591.56669155608
2021,64998,68356.21395758109
