year,days,diff
1988,one,0.013861624724323618
1989,one,0.020283998581181018
1990,one,0.044435365633735846
1991,one,0.04443544470576355
1992,one,0.04443553626783514
1993,one,0.04443562341136609
1994,one,0.04443569662524538
1995,one,0.044435780607796516
1996,one,0.044435830319932035
1997,one,0.04443589874872844
1998,one,0.04443594566041231
1999,one,0.04443600343206189
2000,one,0.05123299429623884
2001,one,0.044436118184475015
2002,one,0.044436184648294574
2003,one,0.044436261049486725
2004,one,0.051233281438931244
2005,one,0.04443640668176796
2006,one,0.09493245926113414
2007,one,0.03449296717975103
2008,one,0.044436643796608166
2009,one,0.04443667479080715
2010,one,0.04443676969041921
2011,one,0.044436830686257034
2012,one,0.04443692962648149
2013,one,0.044436997584160975
2014,one,0.044437132516133904
2015,one,0.04443724811977501
2016,one,0.04882938607266585
2017,one,0.04443741127662959
2018,one,0.04443750796089141
2019,one,0.04443753703697473
2020,one,0.04443761387060019
2021,one,0.04443768207382515
1988,two,0.013861624724323618
1989,two,0.020283998581181018
1990,two,0.03992474729786932
1991,two,0.03992482628575755
1992,two,0.03992491774665852
1993,two,0.03992500480105743
1994,two,0.039925077939522824
1995,two,0.039925161836362855
1996,two,0.03992521149673445
1997,two,0.0399252798567179
1998,two,0.039925326722084487
1999,two,0.039925384435500866
2000,two,0.05123299429623884
2001,two,0.03992549907365939
2002,two,0.03992556547251558
2003,two,0.03992564179852898
2004,two,0.051233281438931244
2005,two,0.03992578729159213
2006,two,0.0904197241956105
2007,two,0.010152160214693562
2008,two,0.03992602430156189
2009,two,0.03992605526304782
2010,two,0.039926150072587596
2011,two,0.039926211010228974
2012,two,0.03992630985770784
2013,two,0.03992637775326413
2014,two,0.039926512559980476
2015,two,0.03992662805735192
2016,two,0.042107876178152925
2017,two,0.03992679110879471
2018,two,0.03992688770843644
2019,two,0.0399269167578703
2020,two,0.03992699352491047
2021,two,0.039927061668056485
1988,three,0.013861624724323618
1989,three,0.020283998581181018
1990,three,0.0030174545985547363
1991,three,0.0030175323997708725
1992,three,0.0030176224697661125
1993,three,0.003017708246243367
1994,three,0.003017780309359064
1995,three,0.0030178629787805944
1996,three,0.0030179119086882755
1997,three,0.0030179792783053827
1998,three,0.0030180254699718745
1999,three,0.003018082347818085
2000,three,0.05123299429623884
2001,three,0.0030181953387560245
2002,three,0.00301826079175338
2003,three,0.003018336029069091
2004,three,0.051233281438931244
2005,three,0.0030184794738510323
2006,three,0.08486135539539252
2007,three,0.005536370837155413
2008,three,0.0030187141715148913
2009,three,0.0030187446825330477
2010,three,0.003018838169603133
2011,three,0.0030188982574950174
2012,three,0.0030189957383121024
2013,three,0.0030190627055938224
2014,three,0.0030191956600632563
2015,three,0.003019309581310914
2016,three,0.03425756309524852
2017,three,0.0030194705299774194
2018,three,0.003019565844912253
2019,three,0.0030195945023213655
2020,three,0.0030196702548324073
2021,three,0.0030197374930793774
1988,four,0.013861624724323618
1989,four,0.020283998581181018
1990,four,0.0025548622732199933
1991,four,0.002554939996890937
1992,four,0.0025550299772432172
1993,four,0.0025551156688555787
1994,four,0.00255518766079621
1995,four,0.00255527024873492
1996,four,0.0025553191305058842
1997,four,0.002555386434012541
1998,four,0.0025554325804384437
1999,four,0.002555489402608746
2000,four,0.05123299429623884
2001,four,0.0025556022832732284
2002,four,0.002555667672559103
2003,four,0.0025557428367448676
2004,four,0.044436359676551795
2005,four,0.00255588614258373
2006,four,0.002555965265875426
2007,four,0.0030186507447670374
2008,four,0.0025561206145818804
2009,four,0.0025561510962140988
2010,four,0.0025562444935877116
2011,four,0.0025563045239672677
2012,four,0.0025564019116950387
2013,four,0.0025564688152224235
2014,four,0.0025566016432487793
2015,four,0.0025567154565722117
2016,four,0.02960552571278663
2017,four,0.0025568762535798095
2018,four,0.0025569714790366627
2019,four,0.002557000109583707
2020,four,0.002557075791228547
2021,four,0.0025571429666600975
1988,five,0.013861624724323618
1989,five,0.020283998581181018
1990,five,0.0017719330368167752
1991,five,0.0017719869368595376
1992,five,0.0017720493366761847
1993,five,0.0017721087623289167
1994,five,0.0017721586874840378
1995,five,0.0017722159607708177
1996,five,0.0017722498594107128
1997,five,0.0017722965331972151
1998,five,0.0017723285349218187
1999,five,0.0017723679400767356
2000,five,0.04443607284503148
2001,five,0.0017724462207757696
2002,five,0.0017724915670565
2003,five,0.0017725436920424942
2004,five,0.03992574032930429
2005,five,0.001772643072001534
2006,five,0.0017726979425020106
2007,five,0.002556057248533028
2008,five,0.0017728056739362286
2009,five,0.0017728268123586854
2010,five,0.0017728915816568325
2011,five,0.0017729332115691276
2012,five,0.0017730007480764032
2013,five,0.0017730471443733187
2014,five,0.0017731392580090377
2015,five,0.0017732181852953
2016,five,0.0017732891564687936
2017,five,0.0017733296947957111
2018,five,0.0017733957317273008
2019,five,0.0017734155864246315
2020,five,0.0017734680701021466
2021,five,0.00177351465488218
