% Chance,one,two,three,four,five
99,91.9,92.3,92.6,95.1,95.7
95,94.9,94.9,94.9,96.5,97.3
90,95.2,95.9,97,98.2,99
80,95.6,96,99.6,99.7,99.8
70,95.6,96,99.7,99.7,99.8
60,95.6,96,99.7,99.7,99.8
50,95.6,96,99.7,99.7,99.8
