"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"26-Jun",,1,0,40,0
"27-Jun",,0,0,100,0
"28-Jun",,0,0,143,0
"29-Jun",,5,0,234,5
"30-Jun",,27,0,188,26
"1-Jul",,74,0,278,73
"2-Jul",,154,0,342,152
"3-Jul",,271,41,471,252
"4-Jul",,369,143,561,360
"5-Jul",349,,,,460
"6-Jul",465,,,,540
"7-Jul",696,,,,594
"8-Jul",583,,,,623
"9-Jul",571,,,,627
"10-Jul",684,,,,612
"11-Jul",704,,,,582
"12-Jul",658,,,,542
"13-Jul",492,,,,496
"14-Jul",595,,,,448
"15-Jul",450,,,,400
"16-Jul",311,,,,353
"17-Jul",150,,,,310
"18-Jul",103,,,,269
"19-Jul",124,,,,233
"20-Jul",47,,,,201
"21-Jul",107,,,,172
"22-Jul",108,,,,147
"23-Jul",84,,,,125
"24-Jul",56,,,,107
"25-Jul",46,,,,91
"26-Jul",38,,,,77
"27-Jul",27,,,,65
"28-Jul",16,,,,55
"29-Jul",27,,,,46
"30-Jul",31,,,,39
"31-Jul",23,,,,33
"1-Aug",,26,0,86,28
"2-Aug",,22,0,72,24
"3-Aug",4,,,,20
"4-Aug",12,,,,17
"5-Aug",6,,,,14
"6-Aug",7,,,,12
"7-Aug",6,,,,10
"8-Aug",10,,,,9
"9-Aug",3,,,,7
"10-Aug",1,,,,6
"11-Aug",5,,,,5
"12-Aug",10,,,,4
"13-Aug",2,,,,4
"14-Aug",3,,,,3
"15-Aug",2,,,,3
"16-Aug",3,,,,2
"17-Aug",5,,,,2
"18-Aug",4,,,,2
"19-Aug",3,,,,1
"20-Aug",3,,,,1
"21-Aug",3,,,,1
"22-Aug",3,,,,1
"23-Aug",2,,,,1
"24-Aug",0,,,,1
"25-Aug",1,,,,1
"26-Aug",1,,,,0
"27-Aug",1,,,,0
"28-Aug",4,,,,0
"29-Aug",1,,,,0
"30-Aug",1,,,,0
"31-Aug",1,,,,0
"1-Sep",1,,,,0
"2-Sep",1,,,,0
"3-Sep",0,,,,0
"4-Sep",1,,,,0
"5-Sep",1,,,,0
"6-Sep",1,,,,0
"7-Sep",0,,,,0
"8-Sep",3,,,,0
"9-Sep",0,,,,0
"10-Sep",0,,,,0
"11-Sep",0,,,,0
"12-Sep",0,,,,0
"13-Sep",3,,,,0
"14-Sep",2,,,,0
"15-Sep",0,,,,0
"16-Sep",0,,,,0
"17-Sep",0,,,,0
"18-Sep",0,,,,0
"19-Sep",0,,,,0
"20-Sep",0,,,,0
"21-Sep",0,,,,0
"22-Sep",0,,,,0
"23-Sep",0,,,,0
"24-Sep",0,,,,0
"25-Sep",0,,,,0
