"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"26-Jun",,2,0,42,0
"27-Jun",,5,0,95,0
"28-Jun",,7,0,171,0
"29-Jun",,0,0,197,0
"30-Jun",,0,0,236,1
"1-Jul",,0,0,174,5
"2-Jul",,34,0,212,19
"3-Jul",,44,0,255,51
"4-Jul",,104,0,307,107
"5-Jul",349,158,0,382,186
"6-Jul",465,263,18,440,282
"7-Jul",696,,,,387
"8-Jul",583,,,,489
"9-Jul",571,,,,579
"10-Jul",684,,,,649
"11-Jul",704,,,,696
"12-Jul",658,,,,720
"13-Jul",492,,,,722
"14-Jul",595,,,,706
"15-Jul",450,666,454,940,675
"16-Jul",311,643,437,916,634
"17-Jul",150,588,356,876,586
"18-Jul",103,550,332,833,534
"19-Jul",124,506,226,770,481
"20-Jul",47,441,232,705,429
"21-Jul",107,386,174,686,379
"22-Jul",108,349,85,595,332
"23-Jul",84,286,56,501,290
"24-Jul",56,272,84,458,251
"25-Jul",46,234,32,450,216
"26-Jul",38,194,29,418,185
"27-Jul",27,161,0,336,158
"28-Jul",16,156,0,327,135
"29-Jul",27,126,0,267,115
"30-Jul",31,109,0,223,97
"31-Jul",23,82,0,193,82
"1-Aug",,71,0,157,69
"2-Aug",,62,13,119,58
"3-Aug",4,56,0,120,49
"4-Aug",12,45,0,94,41
"5-Aug",6,38,0,109,35
"6-Aug",7,32,8,59,29
"7-Aug",6,27,0,64,24
"8-Aug",10,21,0,53,20
"9-Aug",3,17,0,40,17
"10-Aug",1,14,0,36,14
"11-Aug",5,14,0,40,12
"12-Aug",10,10,0,26,10
"13-Aug",2,8,0,22,8
"14-Aug",3,7,0,15,7
"15-Aug",2,6,0,15,6
"16-Aug",3,5,0,11,5
"17-Aug",5,4,0,13,4
"18-Aug",4,4,0,13,3
"19-Aug",3,3,0,12,3
"20-Aug",3,2,0,9,2
"21-Aug",3,2,0,7,2
"22-Aug",3,2,0,6,2
"23-Aug",2,,,,1
"24-Aug",0,,,,1
"25-Aug",1,1,0,5,1
"26-Aug",1,1,0,4,1
"27-Aug",1,1,0,3,1
"28-Aug",4,1,0,4,1
"29-Aug",1,1,0,3,1
"30-Aug",1,1,0,5,0
"31-Aug",1,0,0,2,0
"1-Sep",1,,,,0
"2-Sep",1,,,,0
"3-Sep",0,,,,0
"4-Sep",1,,,,0
"5-Sep",1,,,,0
"6-Sep",1,,,,0
"7-Sep",0,,,,0
"8-Sep",3,,,,0
"9-Sep",0,,,,0
"10-Sep",0,,,,0
"11-Sep",0,,,,0
"12-Sep",0,,,,0
"13-Sep",3,,,,0
"14-Sep",2,,,,0
"15-Sep",0,,,,0
"16-Sep",0,,,,0
"17-Sep",0,,,,0
"18-Sep",0,,,,0
"19-Sep",0,,,,0
"20-Sep",0,,,,0
"21-Sep",0,,,,0
"22-Sep",0,,,,0
"23-Sep",0,,,,0
"24-Sep",0,,,,0
"25-Sep",0,,,,0
