"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"26-Jun",11,,,,0
"27-Jun",21,,,,0
"28-Jun",34,,,,0
"29-Jun",58,,,,0
"30-Jun",44,,,,0
"1-Jul",15,,,,0
"2-Jul",42,,,,0
"3-Jul",87,,,,0
"4-Jul",194,,,,2
"5-Jul",412,,,,5
"6-Jul",436,,,,14
"7-Jul",245,,,,29
"8-Jul",323,,,,54
"9-Jul",125,,,,90
"10-Jul",289,,,,135
"11-Jul",576,,,,188
"12-Jul",796,,,,245
"13-Jul",211,,,,302
"14-Jul",118,,,,354
"15-Jul",87,,,,399
"16-Jul",236,,,,434
"17-Jul",699,,,,457
"18-Jul",227,,,,469
"19-Jul",308,,,,470
"20-Jul",332,,,,462
"21-Jul",682,,,,445
"22-Jul",553,,,,422
"23-Jul",234,,,,394
"24-Jul",556,,,,364
"25-Jul",207,,,,332
"26-Jul",120,,,,300
"27-Jul",204,,,,268
"28-Jul",178,,,,238
"29-Jul",97,,,,210
"30-Jul",359,,,,183
"31-Jul",117,,,,160
"1-Aug",67,,,,138
"2-Aug",66,,,,119
"3-Aug",154,,,,102
"4-Aug",79,,,,87
"5-Aug",180,,,,74
"6-Aug",71,,,,63
"7-Aug",100,,,,53
"8-Aug",81,,,,45
"9-Aug",60,,,,38
"10-Aug",31,,,,31
"11-Aug",34,,,,26
"12-Aug",24,,,,22
"13-Aug",32,,,,18
"14-Aug",20,,,,15
"15-Aug",13,,,,13
"16-Aug",6,,,,11
"17-Aug",12,,,,9
"18-Aug",8,,,,7
"19-Aug",6,,,,6
"20-Aug",5,,,,5
"21-Aug",2,,,,4
"22-Aug",3,,,,3
"23-Aug",0,,,,3
"24-Aug",,3,0,8,2
"25-Aug",,2,0,5,2
"26-Aug",5,,,,2
"27-Aug",0,,,,1
"28-Aug",0,,,,1
"29-Aug",0,,,,1
"30-Aug",0,,,,1
"31-Aug",1,,,,1
"1-Sep",1,,,,1
"2-Sep",0,,,,0
"3-Sep",1,,,,0
"4-Sep",0,,,,0
"5-Sep",1,,,,0
"6-Sep",1,,,,0
"7-Sep",0,,,,0
"8-Sep",0,,,,0
"9-Sep",0,,,,0
"10-Sep",0,,,,0
"11-Sep",0,,,,0
"12-Sep",0,,,,0
"13-Sep",0,,,,0
"14-Sep",0,,,,0
"15-Sep",0,,,,0
"16-Sep",0,,,,0
"17-Sep",0,,,,0
"18-Sep",0,,,,0
"19-Sep",0,,,,0
"20-Sep",0,,,,0
"21-Sep",0,,,,0
"22-Sep",0,,,,0
"23-Sep",0,,,,0
"24-Sep",0,,,,0
"25-Sep",0,,,,0
