"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"26-Jun",,0,0,40,0
"27-Jun",,0,0,83,0
"28-Jun",,,,,0
"29-Jun",,,,,2
"30-Jun",,,,,13
"1-Jul",,,,,44
"2-Jul",,,,,103
"3-Jul",,,,,189
"4-Jul",,,,,293
"5-Jul",,,,,400
"6-Jul",,,,,497
"7-Jul",433,,,,573
"8-Jul",378,,,,624
"9-Jul",368,,,,650
"10-Jul",463,,,,653
"11-Jul",887,,,,637
"12-Jul",932,,,,606
"13-Jul",633,,,,565
"14-Jul",814,,,,519
"15-Jul",,,,,469
"16-Jul",,,,,419
"17-Jul",,,,,371
"18-Jul",,,,,326
"19-Jul",,,,,284
"20-Jul",,,,,246
"21-Jul",,,,,212
"22-Jul",,,,,182
"23-Jul",,,,,156
"24-Jul",,,,,133
"25-Jul",,,,,113
"26-Jul",,,,,96
"27-Jul",,,,,81
"28-Jul",,,,,69
"29-Jul",,,,,58
"30-Jul",,,,,49
"31-Jul",,,,,41
"1-Aug",,,,,35
"2-Aug",,,,,29
"3-Aug",,,,,25
"4-Aug",,,,,21
"5-Aug",,,,,18
"6-Aug",,,,,15
"7-Aug",,,,,12
"8-Aug",,,,,10
"9-Aug",,,,,9
"10-Aug",,,,,7
"11-Aug",,,,,6
"12-Aug",,,,,5
"13-Aug",,,,,4
"14-Aug",,,,,4
"15-Aug",,,,,3
"16-Aug",,,,,3
"17-Aug",,,,,2
"18-Aug",,,,,2
"19-Aug",,,,,2
"20-Aug",,,,,1
"21-Aug",,,,,1
"22-Aug",,,,,1
"23-Aug",1,,,,1
"24-Aug",2,,,,1
"25-Aug",,,,,1
"26-Aug",,,,,1
"27-Aug",,,,,0
"28-Aug",,,,,0
"29-Aug",,,,,0
"30-Aug",,,,,0
"31-Aug",,,,,0
"1-Sep",0,,,,0
"2-Sep",0,,,,0
"3-Sep",0,,,,0
"4-Sep",0,,,,0
"5-Sep",0,,,,0
"6-Sep",0,,,,0
"7-Sep",0,,,,0
"8-Sep",0,,,,0
"9-Sep",0,,,,0
"10-Sep",0,,,,0
"11-Sep",0,,,,0
"12-Sep",0,,,,0
"13-Sep",0,,,,0
"14-Sep",0,,,,0
"15-Sep",0,,,,0
"16-Sep",0,,,,0
"17-Sep",0,,,,0
"18-Sep",0,,,,0
"19-Sep",0,,,,0
"20-Sep",0,,,,0
"21-Sep",0,,,,0
"22-Sep",0,,,,0
"23-Sep",0,,,,0
"24-Sep",0,,,,0
"25-Sep",0,,,,0
