"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"26-Jun",,0,0,41,0
"27-Jun",,0,0,97,0
"28-Jun",,2,0,176,0
"29-Jun",,0,0,175,2
"30-Jun",,26,0,174,13
"1-Jul",,32,0,240,42
"2-Jul",,99,0,289,96
"3-Jul",,171,0,384,171
"4-Jul",,234,14,412,258
"5-Jul",160,,,,346
"6-Jul",397,,,,423
"7-Jul",386,,,,482
"8-Jul",698,,,,521
"9-Jul",796,,,,539
"10-Jul",336,,,,538
"11-Jul",644,,,,523
"12-Jul",515,,,,496
"13-Jul",408,,,,462
"14-Jul",448,,,,423
"15-Jul",221,,,,382
"16-Jul",444,,,,342
"17-Jul",230,,,,303
"18-Jul",111,,,,266
"19-Jul",316,,,,232
"20-Jul",,211,6,387,201
"21-Jul",,174,0,354,174
"22-Jul",,150,2,355,150
"23-Jul",,127,0,369,128
"24-Jul",,112,0,274,110
"25-Jul",,79,0,309,93
"26-Jul",,106,0,264,80
"27-Jul",,67,0,261,68
"28-Jul",,69,0,205,57
"29-Jul",72,,,,49
"30-Jul",77,,,,41
"31-Jul",46,,,,35
"1-Aug",29,,,,29
"2-Aug",53,,,,25
"3-Aug",24,,,,21
"4-Aug",17,,,,18
"5-Aug",9,,,,15
"6-Aug",14,,,,13
"7-Aug",4,,,,11
"8-Aug",12,,,,9
"9-Aug",1,,,,8
"10-Aug",6,,,,7
"11-Aug",3,,,,6
"12-Aug",1,,,,5
"13-Aug",7,,,,4
"14-Aug",4,,,,3
"15-Aug",11,,,,3
"16-Aug",2,,,,2
"17-Aug",1,,,,2
"18-Aug",0,,,,2
"19-Aug",,2,0,10,2
"20-Aug",,1,0,8,1
"21-Aug",,1,0,6,1
"22-Aug",1,,,,1
"23-Aug",1,,,,1
"24-Aug",1,,,,1
"25-Aug",2,,,,1
"26-Aug",2,,,,1
"27-Aug",3,,,,0
"28-Aug",0,,,,0
"29-Aug",0,,,,0
"30-Aug",0,,,,0
"31-Aug",0,,,,0
"1-Sep",1,,,,0
"2-Sep",2,,,,0
"3-Sep",0,,,,0
"4-Sep",0,,,,0
"5-Sep",0,,,,0
"6-Sep",0,,,,0
"7-Sep",0,,,,0
"8-Sep",0,,,,0
"9-Sep",0,,,,0
"10-Sep",0,,,,0
"11-Sep",0,,,,0
"12-Sep",1,,,,0
"13-Sep",0,,,,0
"14-Sep",0,,,,0
"15-Sep",0,,,,0
"16-Sep",0,,,,0
"17-Sep",0,,,,0
"18-Sep",0,,,,0
"19-Sep",0,,,,0
"20-Sep",0,,,,0
"21-Sep",0,,,,0
"22-Sep",0,,,,0
"23-Sep",0,,,,0
"24-Sep",0,,,,0
"25-Sep",0,,,,0
