"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"26-Jun",,0,0,45,0
"27-Jun",,6,0,97,1
"28-Jun",,,,,18
"29-Jun",,,,,87
"30-Jun",80,,,,222
"1-Jul",264,,,,397
"2-Jul",998,,,,570
"3-Jul",831,,,,711
"4-Jul",397,,,,802
"5-Jul",1464,,,,843
"6-Jul",1688,,,,841
"7-Jul",1788,,,,808
"8-Jul",880,,,,753
"9-Jul",683,,,,686
"10-Jul",552,,,,614
"11-Jul",339,,,,541
"12-Jul",418,,,,472
"13-Jul",715,,,,409
"14-Jul",515,,,,351
"15-Jul",282,,,,300
"16-Jul",181,,,,255
"17-Jul",237,,,,216
"18-Jul",227,,,,183
"19-Jul",260,,,,154
"20-Jul",88,,,,130
"21-Jul",180,,,,109
"22-Jul",98,,,,92
"23-Jul",56,,,,77
"24-Jul",77,,,,65
"25-Jul",99,,,,55
"26-Jul",31,,,,46
"27-Jul",25,,,,39
"28-Jul",27,,,,33
"29-Jul",52,,,,27
"30-Jul",99,,,,23
"31-Jul",19,,,,19
"1-Aug",,,,,16
"2-Aug",,,,,14
"3-Aug",9,,,,12
"4-Aug",7,,,,10
"5-Aug",2,,,,8
"6-Aug",6,,,,7
"7-Aug",8,,,,6
"8-Aug",10,,,,5
"9-Aug",2,,,,4
"10-Aug",14,,,,4
"11-Aug",,,,,3
"12-Aug",,2,0,14,3
"13-Aug",,3,0,17,2
"14-Aug",,,,,2
"15-Aug",5,,,,2
"16-Aug",1,,,,1
"17-Aug",0,,,,1
"18-Aug",1,,,,1
"19-Aug",0,,,,1
"20-Aug",3,,,,1
"21-Aug",2,,,,1
"22-Aug",3,,,,1
"23-Aug",4,,,,1
"24-Aug",1,,,,0
"25-Aug",0,,,,0
"26-Aug",2,,,,0
"27-Aug",1,,,,0
"28-Aug",1,,,,0
"29-Aug",2,,,,0
"30-Aug",0,,,,0
"31-Aug",0,,,,0
"1-Sep",0,,,,0
"2-Sep",0,,,,0
"3-Sep",0,,,,0
"4-Sep",0,,,,0
"5-Sep",0,,,,0
"6-Sep",0,,,,0
"7-Sep",0,,,,0
"8-Sep",0,,,,0
"9-Sep",0,,,,0
"10-Sep",0,,,,0
"11-Sep",0,,,,0
"12-Sep",0,,,,0
"13-Sep",0,,,,0
"14-Sep",0,,,,0
"15-Sep",0,,,,0
"16-Sep",0,,,,0
"17-Sep",0,,,,0
"18-Sep",0,,,,0
"19-Sep",0,,,,0
"20-Sep",0,,,,0
"21-Sep",0,,,,0
"22-Sep",0,,,,0
"23-Sep",0,,,,0
"24-Sep",0,,,,0
"25-Sep",0,,,,0
