"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"26-Jun",0,,,,0
"27-Jun",0,,,,0
"28-Jun",0,,,,0
"29-Jun",1,,,,0
"30-Jun",6,,,,0
"1-Jul",2,,,,0
"2-Jul",4,,,,0
"3-Jul",6,,,,0
"4-Jul",9,,,,0
"5-Jul",1,,,,0
"6-Jul",12,,,,2
"7-Jul",37,,,,4
"8-Jul",12,,,,9
"9-Jul",34,,,,19
"10-Jul",83,,,,33
"11-Jul",185,,,,53
"12-Jul",29,,,,79
"13-Jul",121,,,,109
"14-Jul",256,,,,141
"15-Jul",74,,,,175
"16-Jul",341,,,,207
"17-Jul",,229,35,421,236
"18-Jul",427,,,,260
"19-Jul",383,,,,278
"20-Jul",372,,,,290
"21-Jul",103,,,,295
"22-Jul",266,,,,294
"23-Jul",52,,,,287
"24-Jul",206,,,,276
"25-Jul",445,,,,262
"26-Jul",245,,,,245
"27-Jul",,228,44,393,227
"28-Jul",146,,,,207
"29-Jul",,180,45,315,188
"30-Jul",130,,,,168
"31-Jul",115,,,,150
"1-Aug",156,,,,132
"2-Aug",82,,,,116
"3-Aug",94,,,,101
"4-Aug",38,,,,88
"5-Aug",67,,,,76
"6-Aug",,65,36,89,65
"7-Aug",47,,,,56
"8-Aug",51,,,,48
"9-Aug",42,,,,40
"10-Aug",32,,,,34
"11-Aug",33,,,,29
"12-Aug",35,,,,24
"13-Aug",20,,,,20
"14-Aug",25,,,,17
"15-Aug",14,,,,14
"16-Aug",16,,,,12
"17-Aug",4,,,,10
"18-Aug",11,,,,8
"19-Aug",4,,,,7
"20-Aug",7,,,,6
"21-Aug",5,,,,5
"22-Aug",8,,,,4
"23-Aug",2,,,,3
"24-Aug",2,,,,3
"25-Aug",7,,,,2
"26-Aug",0,,,,2
"27-Aug",5,,,,2
"28-Aug",4,,,,1
"29-Aug",1,,,,1
"30-Aug",6,,,,1
"31-Aug",,1,0,2,1
"1-Sep",0,,,,1
"2-Sep",0,,,,0
"3-Sep",1,,,,0
"4-Sep",1,,,,0
"5-Sep",2,,,,0
"6-Sep",0,,,,0
"7-Sep",0,,,,0
"8-Sep",0,,,,0
"9-Sep",0,,,,0
"10-Sep",0,,,,0
"11-Sep",0,,,,0
"12-Sep",0,,,,0
"13-Sep",0,,,,0
"14-Sep",0,,,,0
"15-Sep",0,,,,0
"16-Sep",0,,,,0
"17-Sep",0,,,,0
"18-Sep",0,,,,0
"19-Sep",0,,,,0
"20-Sep",0,,,,0
"21-Sep",0,,,,0
"22-Sep",0,,,,0
"23-Sep",0,,,,0
"24-Sep",0,,,,0
"25-Sep",0,,,,0
