"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"26-Jun",0,,,,0
"27-Jun",0,,,,0
"28-Jun",1,,,,0
"29-Jun",3,,,,0
"30-Jun",0,,,,0
"1-Jul",0,,,,0
"2-Jul",0,,,,0
"3-Jul",11,,,,0
"4-Jul",,,,,0
"5-Jul",0,,,,0
"6-Jul",9,,,,0
"7-Jul",38,,,,1
"8-Jul",6,,,,4
"9-Jul",1,,,,8
"10-Jul",,,,,16
"11-Jul",,,,,27
"12-Jul",,,,,44
"13-Jul",,,,,66
"14-Jul",,,,,91
"15-Jul",,,,,120
"16-Jul",,,,,150
"17-Jul",,,,,179
"18-Jul",291,200,12,409,206
"19-Jul",444,,,,229
"20-Jul",189,,,,247
"21-Jul",389,,,,260
"22-Jul",294,,,,267
"23-Jul",405,268,99,470,269
"24-Jul",63,276,91,463,265
"25-Jul",158,,,,257
"26-Jul",381,,,,246
"27-Jul",142,,,,232
"28-Jul",426,,,,216
"29-Jul",157,,,,198
"30-Jul",410,,,,181
"31-Jul",362,,,,163
"1-Aug",278,,,,146
"2-Aug",94,,,,129
"3-Aug",145,,,,114
"4-Aug",95,98,57,139,100
"5-Aug",26,,,,87
"6-Aug",70,,,,75
"7-Aug",12,,,,65
"8-Aug",37,,,,55
"9-Aug",49,,,,47
"10-Aug",24,,,,40
"11-Aug",30,,,,34
"12-Aug",8,,,,29
"13-Aug",23,,,,24
"14-Aug",8,,,,20
"15-Aug",1,18,7,27,17
"16-Aug",8,14,7,21,14
"17-Aug",2,11,2,20,12
"18-Aug",0,9,1,19,10
"19-Aug",2,8,1,16,8
"20-Aug",0,7,1,12,7
"21-Aug",0,5,1,10,6
"22-Aug",0,4,0,9,5
"23-Aug",,3,0,7,4
"24-Aug",2,3,0,9,3
"25-Aug",2,2,0,6,3
"26-Aug",0,2,0,5,2
"27-Aug",0,2,0,5,2
"28-Aug",1,1,0,4,1
"29-Aug",0,1,0,3,1
"30-Aug",1,1,0,6,1
"31-Aug",0,1,0,2,1
"1-Sep",0,,,,1
"2-Sep",0,,,,1
"3-Sep",0,,,,0
"4-Sep",0,,,,0
"5-Sep",0,,,,0
"6-Sep",0,,,,0
"7-Sep",0,,,,0
"8-Sep",0,,,,0
"9-Sep",0,,,,0
"10-Sep",0,,,,0
"11-Sep",0,,,,0
"12-Sep",0,,,,0
"13-Sep",0,,,,0
"14-Sep",0,,,,0
"15-Sep",0,,,,0
"16-Sep",0,,,,0
"17-Sep",0,,,,0
"18-Sep",0,,,,0
"19-Sep",0,,,,0
"20-Sep",0,,,,0
"21-Sep",0,,,,0
"22-Sep",0,,,,0
"23-Sep",0,,,,0
"24-Sep",0,,,,0
"25-Sep",0,,,,0
