"","x"
"[1,1]",0
"[2,1]",0
"[3,1]",0.432095263888166
"[4,1]",0.0356653064439972
"[5,1]",0.842027087835822
"[6,1]",0
"[7,1]",0
"[10,1]",0
"[11,1]",0.418360469543488
"[12,1]",0
"[13,1]",0.694811905059977
"[14,1]",1.60813536548635
"[15,1]",0
"[16,1]",0.108329269094242
"[17,1]",0.980228794006774
"[18,1]",0
"[19,1]",0
"[20,1]",0
"[21,1]",0
"[22,1]",0
"[23,1]",0
"[24,1]",0
"[25,1]",1.31503572579305
"[26,1]",0
"[31,1]",0.770784868585647
"[32,1]",0
"[33,1]",1.38836869180305
"[35,1]",0.039009591043432
"[37,1]",0
"[38,1]",0.113761755122002
"[43,1]",0
"[1,2]",0
"[2,2]",2.7739207371705
"[3,2]",2.68612232456455
"[4,2]",2.44929810995871
"[5,2]",0
"[7,2]",3.17730109082227
"[10,2]",0
"[11,2]",1.1715717699408
"[12,2]",4.21073066041624
"[13,2]",2.90058012000742
"[14,2]",4.68425968982928
"[15,2]",0
"[16,2]",3.1566897235261
"[17,2]",0.441243520300144
"[18,2]",1.34047259573982
"[19,2]",0
"[20,2]",0
"[21,2]",4.58099623665305
"[22,2]",6.46828982387409
"[23,2]",0
"[24,2]",1.02798314912039
"[25,2]",1.95415610636805
"[26,2]",0
"[31,2]",1.24228159352866
"[33,2]",2.64957898832529
"[37,2]",0.474140234053386
"[38,2]",0.415742435453441
"[43,2]",2.05308150799722
"[1,3]",0
"[2,3]",0
"[4,3]",0
"[5,3]",3.9291026779095
"[7,3]",19.3936256623083
"[10,3]",0
"[11,3]",0
"[12,3]",1.27019486333364
"[13,3]",0
"[14,3]",7.1354900621141
"[16,3]",9.36649719355519
"[17,3]",5.48374781443608
"[18,3]",2.94522154257429
"[19,3]",0
"[20,3]",12.7517371193251
"[21,3]",14.1889436133323
"[23,3]",0
"[24,3]",0
"[25,3]",6.4758642925708
"[26,3]",0.795844263065808
"[31,3]",0
"[33,3]",0
"[37,3]",0
"[38,3]",0
"[43,3]",0
"[2,4]",0
"[4,4]",0
"[5,4]",0
"[7,4]",74.085937451508
"[10,4]",0
"[12,4]",0
"[13,4]",0.129315505952943
"[14,4]",0
"[16,4]",0
"[17,4]",2.62642273823077
"[18,4]",14.8723598286913
"[19,4]",15.9242830774201
"[20,4]",49.5949043689902
"[21,4]",114.500266023088
"[23,4]",2.39055302094919
"[24,4]",0
