"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"26-Jun",21,,,,0
"27-Jun",54,,,,0
"28-Jun",42,,,,0
"29-Jun",25,,,,0
"30-Jun",5,,,,0
"1-Jul",3,,,,0
"2-Jul",5,,,,1
"3-Jul",192,,,,5
"4-Jul",42,,,,14
"5-Jul",23,,,,31
"6-Jul",30,,,,58
"7-Jul",154,,,,95
"8-Jul",61,,,,139
"9-Jul",137,,,,188
"10-Jul",137,,,,238
"11-Jul",301,,,,284
"12-Jul",282,,,,322
"13-Jul",587,,,,352
"14-Jul",277,,,,371
"15-Jul",281,,,,380
"16-Jul",157,,,,380
"17-Jul",116,,,,372
"18-Jul",1444,,,,357
"19-Jul",130,,,,337
"20-Jul",194,,,,313
"21-Jul",538,,,,288
"22-Jul",148,,,,262
"23-Jul",135,,,,236
"24-Jul",178,,,,210
"25-Jul",233,,,,186
"26-Jul",206,,,,164
"27-Jul",199,,,,143
"28-Jul",89,,,,125
"29-Jul",139,,,,108
"30-Jul",81,,,,93
"31-Jul",58,,,,80
"1-Aug",98,,,,69
"2-Aug",56,,,,59
"3-Aug",30,,,,50
"4-Aug",8,,,,42
"5-Aug",36,,,,36
"6-Aug",20,,,,30
"7-Aug",17,,,,26
"8-Aug",11,,,,22
"9-Aug",8,,,,18
"10-Aug",12,,,,15
"11-Aug",2,,,,13
"12-Aug",11,,,,11
"13-Aug",6,,,,9
"14-Aug",,8,0,16,8
"15-Aug",,7,0,17,6
"16-Aug",,5,0,12,5
"17-Aug",,4,0,11,5
"18-Aug",1,,,,4
"19-Aug",3,,,,3
"20-Aug",5,,,,3
"21-Aug",,2,0,8,2
"22-Aug",,1,0,6,2
"23-Aug",,2,0,6,2
"24-Aug",,2,0,6,1
"25-Aug",,1,0,5,1
"26-Aug",,1,0,4,1
"27-Aug",,1,0,4,1
"28-Aug",,0,0,3,1
"29-Aug",,1,0,2,1
"30-Aug",,0,0,6,0
"31-Aug",,0,0,2,0
"1-Sep",0,,,,0
"2-Sep",0,,,,0
"3-Sep",0,,,,0
"4-Sep",0,,,,0
"5-Sep",0,,,,0
"6-Sep",0,,,,0
"7-Sep",0,,,,0
"8-Sep",0,,,,0
"9-Sep",0,,,,0
"10-Sep",0,,,,0
"11-Sep",0,,,,0
"12-Sep",0,,,,0
"13-Sep",0,,,,0
"14-Sep",0,,,,0
"15-Sep",0,,,,0
"16-Sep",0,,,,0
"17-Sep",0,,,,0
"18-Sep",0,,,,0
"19-Sep",0,,,,0
"20-Sep",0,,,,0
"21-Sep",0,,,,0
"22-Sep",0,,,,0
"23-Sep",0,,,,0
"24-Sep",0,,,,0
"25-Sep",0,,,,0
