"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"26-Jun",,0,0,42,0
"27-Jun",,5,0,119,0
"28-Jun",,2,0,165,1
"29-Jun",,0,0,214,11
"30-Jun",,52,0,253,50
"1-Jul",,151,0,329,138
"2-Jul",423,,,,278
"3-Jul",268,,,,451
"4-Jul",458,,,,629
"5-Jul",1130,,,,786
"6-Jul",1110,,,,905
"7-Jul",937,,,,978
"8-Jul",692,,,,1008
"9-Jul",1245,,,,999
"10-Jul",775,,,,960
"11-Jul",,901,647,1129,900
"12-Jul",,835,643,1038,827
"13-Jul",,751,544,996,747
"14-Jul",,661,442,863,666
"15-Jul",,575,411,795,587
"16-Jul",,520,291,729,513
"17-Jul",,440,217,639,444
"18-Jul",598,,,,382
"19-Jul",,339,139,557,327
"20-Jul",,269,101,474,279
"21-Jul",,255,57,444,237
"22-Jul",,207,38,389,201
"23-Jul",,180,0,344,170
"24-Jul",,144,0,323,143
"25-Jul",,106,0,319,120
"26-Jul",,105,0,284,101
"27-Jul",,95,0,256,85
"28-Jul",47,,,,71
"29-Jul",141,,,,60
"30-Jul",108,,,,50
"31-Jul",86,,,,42
"1-Aug",58,,,,35
"2-Aug",27,,,,29
"3-Aug",25,,,,25
"4-Aug",,23,0,62,21
"5-Aug",,22,0,83,17
"6-Aug",,15,0,35,15
"7-Aug",16,,,,12
"8-Aug",19,,,,10
"9-Aug",2,,,,9
"10-Aug",6,,,,7
"11-Aug",,6,0,30,6
"12-Aug",6,,,,5
"13-Aug",5,,,,4
"14-Aug",9,,,,4
"15-Aug",7,,,,3
"16-Aug",4,,,,3
"17-Aug",3,,,,2
"18-Aug",0,,,,2
"19-Aug",5,,,,2
"20-Aug",1,,,,1
"21-Aug",3,,,,1
"22-Aug",1,,,,1
"23-Aug",0,,,,1
"24-Aug",0,,,,1
"25-Aug",0,,,,1
"26-Aug",0,,,,1
"27-Aug",0,,,,0
"28-Aug",0,,,,0
"29-Aug",0,,,,0
"30-Aug",2,,,,0
"31-Aug",0,,,,0
"1-Sep",0,,,,0
"2-Sep",1,,,,0
"3-Sep",1,,,,0
"4-Sep",0,,,,0
"5-Sep",0,,,,0
"6-Sep",1,,,,0
"7-Sep",0,,,,0
"8-Sep",1,,,,0
"9-Sep",0,,,,0
"10-Sep",0,,,,0
"11-Sep",0,,,,0
"12-Sep",0,,,,0
"13-Sep",0,,,,0
"14-Sep",0,,,,0
"15-Sep",0,,,,0
"16-Sep",0,,,,0
"17-Sep",0,,,,0
"18-Sep",0,,,,0
"19-Sep",0,,,,0
"20-Sep",0,,,,0
"21-Sep",0,,,,0
"22-Sep",0,,,,0
"23-Sep",0,,,,0
"24-Sep",0,,,,0
"25-Sep",0,,,,0
