"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"26-Jun",,0,0,43,0
"27-Jun",,6,0,101,0
"28-Jun",,0,0,135,0
"29-Jun",,9,0,190,0
"30-Jun",,11,0,194,0
"1-Jul",,0,0,190,0
"2-Jul",,0,0,176,0
"3-Jul",,0,0,156,1
"4-Jul",,3,0,191,2
"5-Jul",17,,,,7
"6-Jul",31,,,,16
"7-Jul",30,,,,32
"8-Jul",38,,,,55
"9-Jul",113,,,,87
"10-Jul",,140,0,305,125
"11-Jul",,170,0,394,168
"12-Jul",,220,16,415,211
"13-Jul",105,,,,253
"14-Jul",202,,,,289
"15-Jul",110,,,,318
"16-Jul",568,,,,339
"17-Jul",400,,,,351
"18-Jul",383,,,,355
"19-Jul",335,,,,351
"20-Jul",484,,,,341
"21-Jul",293,,,,325
"22-Jul",441,,,,306
"23-Jul",217,,,,284
"24-Jul",260,,,,260
"25-Jul",288,,,,236
"26-Jul",185,,,,212
"27-Jul",134,,,,189
"28-Jul",95,,,,167
"29-Jul",154,,,,147
"30-Jul",,130,0,259,129
"31-Jul",138,,,,112
"1-Aug",94,,,,97
"2-Aug",,82,23,130,83
"3-Aug",,69,3,142,71
"4-Aug",,61,4,114,61
"5-Aug",,53,0,117,52
"6-Aug",33,,,,44
"7-Aug",28,,,,37
"8-Aug",24,,,,32
"9-Aug",31,,,,27
"10-Aug",,21,0,44,22
"11-Aug",,17,0,43,19
"12-Aug",,15,1,29,16
"13-Aug",,13,0,28,13
"14-Aug",,11,2,20,11
"15-Aug",,10,0,19,9
"16-Aug",,7,0,13,8
"17-Aug",,7,0,15,6
"18-Aug",5,,,,5
"19-Aug",8,,,,5
"20-Aug",6,,,,4
"21-Aug",1,,,,3
"22-Aug",2,,,,3
"23-Aug",3,,,,2
"24-Aug",3,,,,2
"25-Aug",1,,,,2
"26-Aug",1,,,,1
"27-Aug",,1,0,4,1
"28-Aug",2,,,,1
"29-Aug",0,,,,1
"30-Aug",2,,,,1
"31-Aug",0,,,,1
"1-Sep",0,,,,0
"2-Sep",0,,,,0
"3-Sep",2,,,,0
"4-Sep",0,,,,0
"5-Sep",1,,,,0
"6-Sep",2,,,,0
"7-Sep",1,,,,0
"8-Sep",1,,,,0
"9-Sep",0,,,,0
"10-Sep",0,,,,0
"11-Sep",1,,,,0
"12-Sep",0,,,,0
"13-Sep",1,,,,0
"14-Sep",0,,,,0
"15-Sep",0,,,,0
"16-Sep",0,,,,0
"17-Sep",1,,,,0
"18-Sep",0,,,,0
"19-Sep",0,,,,0
"20-Sep",0,,,,0
"21-Sep",0,,,,0
"22-Sep",0,,,,0
"23-Sep",0,,,,0
"24-Sep",0,,,,0
"25-Sep",0,,,,0
