days,year,diff
five,2012,0.06616839738077918
five,2013,0.017468688200395488
five,2014,0.06169695477557047
five,2015,0.024314243897832988
five,2016,0.011205537660201492
five,2017,0.03692015472433541
five,2018,0.019260979441295012
five,2019,0.06370521375321492
five,2020,0.022471098265895995
five,2021,0.030212593216261685
four,2012,0.06616839738077918
four,2013,0.017468688200395488
four,2014,0.06169695477557047
four,2015,0.024314243897832988
four,2016,0.011205537660201492
four,2017,0.03692015472433541
four,2018,0.019260979441295012
four,2019,0.06370521375321492
four,2020,0.022471098265895995
four,2021,0.030212593216261685
one,2012,0.06616839738077918
one,2013,0.017468688200395488
one,2014,0.00947112499422964
one,2015,0.024314243897832988
one,2016,0.011205537660201492
one,2017,0.03692015472433541
one,2018,0.019260979441295012
one,2019,0.06370521375321492
one,2020,0.022471098265895995
one,2021,0.030212593216261685
three,2012,0.06616839738077918
three,2013,0.017468688200395488
three,2014,0.06169695477557047
three,2015,0.024314243897832988
three,2016,0.011205537660201492
three,2017,0.03692015472433541
three,2018,0.019260979441295012
three,2019,0.06370521375321492
three,2020,0.022471098265895995
three,2021,0.030212593216261685
two,2012,0.06616839738077918
two,2013,0.017468688200395488
two,2014,0.06169695477557047
two,2015,0.024314243897832988
two,2016,0.011205537660201492
two,2017,0.03692015472433541
two,2018,0.019260979441295012
two,2019,0.06370521375321492
two,2020,0.022471098265895995
two,2021,0.030212593216261685
