% Chance,one,two,three,four,five
99,93.4,93.4,93.4,93.4,93.4
95,93.5,93.5,93.5,93.5,93.5
90,93.6,93.6,93.6,93.6,93.6
80,95.8,93.8,93.8,93.8,93.8
70,96.8,95.6,95.6,95.6,95.6
60,97.3,96.7,96.7,96.7,96.7
50,97.7,97.3,97.3,97.3,97.3
