year,days,diff
2012,one,0.028661359938178865
2013,one,0.017090789923629335
2014,one,0.039973851617687184
2015,one,0.05078566796857331
2016,one,0.045790768715100794
2017,one,0.020129240417992134
2018,one,0.04245993871502485
2019,one,0.002572206003231159
2020,one,0.018029863403905222
2021,one,0.04980877525822869
2012,two,0.028661359938178865
2013,two,0.017090789923629335
2014,two,0.039973851617687184
2015,two,0.05078566796857331
2016,two,0.045790768715100794
2017,two,0.020129240417992134
2018,two,0.04245993871502485
2019,two,0.002572206003231159
2020,two,0.018029863403905222
2021,two,0.04980877525822869
2012,three,0.028661359938178865
2013,three,0.017090789923629335
2014,three,0.039973851617687184
2015,three,0.05078566796857331
2016,three,0.045790768715100794
2017,three,0.020129240417992134
2018,three,0.04245993871502485
2019,three,0.002572206003231159
2020,three,0.018029863403905222
2021,three,0.04980877525822869
2012,four,0.028661359938178865
2013,four,0.017090789923629335
2014,four,0.039973851617687184
2015,four,0.05078566796857331
2016,four,0.045790768715100794
2017,four,0.020129240417992134
2018,four,0.04245993871502485
2019,four,0.002572206003231159
2020,four,0.018029863403905222
2021,four,0.04980877525822869
2012,five,0.028661359938178865
2013,five,0.017090789923629335
2014,five,0.039973851617687184
2015,five,0.05078566796857331
2016,five,0.045790768715100794
2017,five,0.020129240417992134
2018,five,0.04245993871502485
2019,five,0.002572206003231159
2020,five,0.018029863403905222
2021,five,0.04980877525822869
