days,year,diff
five,2012,0.028661359938178865
five,2013,0.017090789923629335
five,2014,0.039973851617687184
five,2015,0.05078566796857331
five,2016,0.045790768715100794
five,2017,0.020129240417992134
five,2018,0.04245993871502485
five,2019,0.002572206003231159
five,2020,0.018029863403905222
five,2021,0.04980877525822869
four,2012,0.028661359938178865
four,2013,0.017090789923629335
four,2014,0.039973851617687184
four,2015,0.05078566796857331
four,2016,0.045790768715100794
four,2017,0.020129240417992134
four,2018,0.04245993871502485
four,2019,0.002572206003231159
four,2020,0.018029863403905222
four,2021,0.04980877525822869
one,2012,0.028661359938178865
one,2013,0.017090789923629335
one,2014,0.039973851617687184
one,2015,0.05078566796857331
one,2016,0.045790768715100794
one,2017,0.020129240417992134
one,2018,0.04245993871502485
one,2019,0.002572206003231159
one,2020,0.018029863403905222
one,2021,0.04980877525822869
three,2012,0.028661359938178865
three,2013,0.017090789923629335
three,2014,0.039973851617687184
three,2015,0.05078566796857331
three,2016,0.045790768715100794
three,2017,0.020129240417992134
three,2018,0.04245993871502485
three,2019,0.002572206003231159
three,2020,0.018029863403905222
three,2021,0.04980877525822869
two,2012,0.028661359938178865
two,2013,0.017090789923629335
two,2014,0.039973851617687184
two,2015,0.05078566796857331
two,2016,0.045790768715100794
two,2017,0.020129240417992134
two,2018,0.04245993871502485
two,2019,0.002572206003231159
two,2020,0.018029863403905222
two,2021,0.04980877525822869
