year,count,fitted
2012,107723,126866
2013,110979,121792
2014,70470,78780
2015,135110,180721
2016,85935,93056
2017,88197,93227
2018,108047,113911
2019,134958,136847
2020,50745.5263158,52588.5263158
2021,64998,69114
